id sensor;temperatura;humedad;ph;precipitacion;nombre;latitud;longitud
2;23.3;55.6;6.2;144.8;Sensor C;42.4;-85.3728
0;26.9;54;6.6;103;Sensor A;42.4;-85.3728
2;34;59.5;6.6;133.4;Sensor C;42.4;-85.3728
2;20.1;54;6.2;125.3;Sensor C;42.4;-85.3728
3;26.1;56.1;6;152.1;Sensor D;42.4;-85.3728
2;22.1;56.3;6.9;84.3;Sensor C;42.4;-85.3728
1;34;54.2;6.4;159.7;Sensor B;42.4;-85.3728
1;28.5;51.5;6.9;79.1;Sensor B;42.4;-85.3728
2;28;55.2;6.8;115.4;Sensor C;42.4;-85.3728
1;27;59.1;6.3;144.1;Sensor B;42.4;-85.3728
1;33.1;50;6.7;102.1;Sensor B;42.4;-85.3728
1;31.6;51.1;6.6;135.2;Sensor B;42.4;-85.3728
3;27.5;54;6.2;114.9;Sensor D;42.4;-85.3728
3;24.3;56.1;6.1;109.1;Sensor D;42.4;-85.3728
4;28.7;59.4;6.7;121.5;Sensor E;42.4;-85.3728
1;25.3;51.2;6.3;96.5;Sensor B;42.4;-85.3728
2;30.8;56.7;6.5;153.5;Sensor C;42.4;-85.3728
0;24.8;54.9;6.3;161.8;Sensor A;42.4;-85.3728
2;21.3;50.5;6.4;76.7;Sensor C;42.4;-85.3728
1;22.7;51.5;6.2;82.5;Sensor B;42.4;-85.3728
0;29;58;6.6;154.1;Sensor A;42.4;-85.3728
3;26.7;54.1;6.1;77.7;Sensor D;42.4;-85.3728
1;26.4;51.2;6.4;85.9;Sensor B;42.4;-85.3728
3;25.2;51.5;6.1;100.1;Sensor D;42.4;-85.3728
3;22.2;58.3;6.6;105.8;Sensor D;42.4;-85.3728
2;22.2;58.9;6.5;103.4;Sensor C;42.4;-85.3728
1;26;52.6;6.6;124.9;Sensor B;42.4;-85.3728
0;27.7;53.9;6.3;85.8;Sensor A;42.4;-85.3728
2;28.6;57.9;6.2;146.3;Sensor C;42.4;-85.3728
3;21.8;50.5;6.5;138.2;Sensor D;42.4;-85.3728
1;24.6;50.3;6.5;98.7;Sensor B;42.4;-85.3728
3;28.8;58.9;6.2;116.1;Sensor D;42.4;-85.3728
2;25.5;54;6.2;89.7;Sensor C;42.4;-85.3728
3;28.9;50.5;6.5;89.1;Sensor D;42.4;-85.3728
1;23.2;57.8;6.3;135.7;Sensor B;42.4;-85.3728
3;30;57.2;6.7;128.2;Sensor D;42.4;-85.3728
1;22.7;53.9;6.2;140.4;Sensor B;42.4;-85.3728
4;21.8;59.6;6.8;139.2;Sensor E;42.4;-85.3728
3;21.7;55.2;6.3;124;Sensor D;42.4;-85.3728
1;31.8;57.7;6.2;82.1;Sensor B;42.4;-85.3728
2;31.3;54.2;6.6;144.8;Sensor C;42.4;-85.3728
4;32.3;53.7;6.8;106.1;Sensor E;42.4;-85.3728
2;20.4;55.5;6.5;100.7;Sensor C;42.4;-85.3728
3;28.9;54.1;6.3;153.1;Sensor D;42.4;-85.3728
3;21.3;50.7;6;86.5;Sensor D;42.4;-85.3728
4;23.4;60;6.2;132;Sensor E;42.4;-85.3728
3;33.9;56.8;6.8;91.7;Sensor D;42.4;-85.3728
2;23.9;52.3;6.8;137.3;Sensor C;42.4;-85.3728
1;23.6;55.6;6.6;141.4;Sensor B;42.4;-85.3728
4;23.9;54.9;6.9;146.7;Sensor E;42.4;-85.3728
2;22.7;54.7;6;94.8;Sensor C;42.4;-85.3728
3;27.6;52.2;6.4;100.3;Sensor D;42.4;-85.3728
3;30.9;52.7;7;162.9;Sensor D;42.4;-85.3728
1;21.6;57.2;6.5;141.8;Sensor B;42.4;-85.3728
1;33.7;56.1;6.6;118.6;Sensor B;42.4;-85.3728
3;29.9;58.2;6.9;159.9;Sensor D;42.4;-85.3728
1;28.4;56.6;6.3;138;Sensor B;42.4;-85.3728
4;28.7;60;7;97.9;Sensor E;42.4;-85.3728
1;24.3;52.1;6.3;95.8;Sensor B;42.4;-85.3728
4;25.4;57.4;6.5;92.1;Sensor E;42.4;-85.3728
2;29.8;52.9;6.2;79.2;Sensor C;42.4;-85.3728
1;21.4;58.8;6.4;128.9;Sensor B;42.4;-85.3728
3;30.3;51.7;6.8;90.2;Sensor D;42.4;-85.3728
3;22.4;57.2;6.7;162.9;Sensor D;42.4;-85.3728
2;22.7;51.5;6.3;145.3;Sensor C;42.4;-85.3728
1;27.7;56.4;6;111.4;Sensor B;42.4;-85.3728
4;30.9;57.5;6.9;86.4;Sensor E;42.4;-85.3728
4;27.9;58;6.8;103.1;Sensor E;42.4;-85.3728
2;25.6;53.6;6.5;157;Sensor C;42.4;-85.3728
1;22;55.5;6.1;103.9;Sensor B;42.4;-85.3728
1;28.1;51.2;6.3;140.9;Sensor B;42.4;-85.3728
2;32.8;57.9;6.9;128.9;Sensor C;42.4;-85.3728
2;27.4;87.8;7.2;54.7;Sensor C;42.4;-85.3728
4;28.3;80.8;7;38.8;Sensor E;42.4;-85.3728
3;27;84.3;6.6;55.3;Sensor D;42.4;-85.3728
1;28.2;81;6.8;36.4;Sensor B;42.4;-85.3728
2;29.9;87.3;6.9;44.8;Sensor C;42.4;-85.3728
3;29.9;89.7;7.2;43;Sensor D;42.4;-85.3728
1;28.6;83.2;6.9;56.5;Sensor B;42.4;-85.3728
4;27.5;85.6;7.2;53;Sensor E;42.4;-85.3728
1;29.7;87.9;7;41.8;Sensor B;42.4;-85.3728
3;28.1;82.1;7.1;46.8;Sensor D;42.4;-85.3728
2;29.5;86.7;7.2;59.9;Sensor C;42.4;-85.3728
3;27.9;86.5;6.4;44.6;Sensor D;42.4;-85.3728
3;28.2;82.4;6.4;44;Sensor D;42.4;-85.3728
0;29;85;6.7;45.9;Sensor A;42.4;-85.3728
1;29.8;86.5;6.6;37.5;Sensor B;42.4;-85.3728
3;29.8;85.2;6.8;40.8;Sensor D;42.4;-85.3728
0;27.9;80.5;6.9;42.8;Sensor A;42.4;-85.3728
3;27.1;85;7.1;51.5;Sensor D;42.4;-85.3728
0;27.1;83.6;6.9;49.1;Sensor A;42.4;-85.3728
3;29;89.1;6.4;57.7;Sensor D;42.4;-85.3728
2;29.2;87.9;6.5;43.1;Sensor C;42.4;-85.3728
1;28.7;85.8;6.5;48.5;Sensor B;42.4;-85.3728
4;29.7;80.3;6.5;56.8;Sensor E;42.4;-85.3728
4;27.2;86.4;6.7;37.3;Sensor E;42.4;-85.3728
1;29;81.7;6.5;56.5;Sensor B;42.4;-85.3728
3;28.2;82.6;6.3;37;Sensor D;42.4;-85.3728
2;28.3;86.2;6.9;50.5;Sensor C;42.4;-85.3728
1;27.9;88.7;6.8;57.8;Sensor B;42.4;-85.3728
3;28.7;87.5;6.8;44.6;Sensor D;42.4;-85.3728
1;27.8;88.7;6.3;56.7;Sensor B;42.4;-85.3728
1;28.7;81.6;6.7;59.9;Sensor B;42.4;-85.3728
2;28.6;84.6;6.8;48.5;Sensor C;42.4;-85.3728
4;28.3;88.4;7.1;48.6;Sensor E;42.4;-85.3728
1;27.6;86.1;7;43.8;Sensor B;42.4;-85.3728
2;28.6;87;7.2;36.9;Sensor C;42.4;-85.3728
4;29.2;84.8;7;53.4;Sensor E;42.4;-85.3728
3;28.6;89.1;6.2;50.5;Sensor D;42.4;-85.3728
1;29.6;88.1;7.2;45;Sensor B;42.4;-85.3728
4;27.8;87.2;6.4;58.4;Sensor E;42.4;-85.3728
2;29.9;83.1;6.6;40.1;Sensor C;42.4;-85.3728
3;27.3;88.5;7;51.1;Sensor D;42.4;-85.3728
2;29.8;89.3;6.3;58.9;Sensor C;42.4;-85.3728
1;28.3;82.8;6.4;56;Sensor B;42.4;-85.3728
4;29.9;86;6.4;58.4;Sensor E;42.4;-85.3728
3;29.6;90;6.9;55;Sensor D;42.4;-85.3728
2;28.1;82.9;6.5;49.6;Sensor C;42.4;-85.3728
1;27.8;90;7.1;52.8;Sensor B;42.4;-85.3728
2;27.1;87.5;7;55;Sensor C;42.4;-85.3728
2;27.7;81.9;6.2;54.6;Sensor C;42.4;-85.3728
1;29.3;85.6;6.2;59;Sensor B;42.4;-85.3728
3;28.4;84.9;7.1;52.9;Sensor D;42.4;-85.3728
2;27.7;89.8;6.5;56.5;Sensor C;42.4;-85.3728
2;27.3;85.4;6.6;53.2;Sensor C;42.4;-85.3728
3;27.1;86.9;7.1;50.5;Sensor D;42.4;-85.3728
2;28.1;85.9;6.4;39.2;Sensor C;42.4;-85.3728
2;27.7;81.1;6.2;44.2;Sensor C;42.4;-85.3728
2;27.5;89.9;6.6;45.5;Sensor C;42.4;-85.3728
4;29.7;84.3;6.4;56.1;Sensor E;42.4;-85.3728
1;29.9;85.9;6.4;41.4;Sensor B;42.4;-85.3728
1;28.4;87.6;6.3;58;Sensor B;42.4;-85.3728
0;29.5;87.6;7;43.2;Sensor A;42.4;-85.3728
0;29.7;82.9;6.4;50.9;Sensor A;42.4;-85.3728
1;27.5;87.2;7.2;43.8;Sensor B;42.4;-85.3728
0;27.8;87.1;6.4;49.5;Sensor A;42.4;-85.3728
0;29.1;88.5;7.1;36.5;Sensor A;42.4;-85.3728
2;27.1;89.9;6.7;37.5;Sensor C;42.4;-85.3728
3;28.9;86.9;6.6;53.8;Sensor D;42.4;-85.3728
1;28.1;83.8;6.6;37.4;Sensor B;42.4;-85.3728
2;29.9;80.1;7.1;54.8;Sensor C;42.4;-85.3728
1;27.4;81;6.9;40.5;Sensor B;42.4;-85.3728
1;29.3;89.5;7.1;50.9;Sensor B;42.4;-85.3728
3;29.7;88.5;6.5;56;Sensor D;42.4;-85.3728
3;28.4;82.7;6.7;58.2;Sensor D;42.4;-85.3728
1;28;84;6.6;48.9;Sensor B;42.4;-85.3728
3;29.3;82;6.9;42;Sensor D;42.4;-85.3728
4;28.4;88;6.5;43.1;Sensor E;42.4;-85.3728
2;27.6;86.5;6.6;39.3;Sensor C;42.4;-85.3728
2;28.7;86.1;6.9;50;Sensor C;42.4;-85.3728
1;29.2;87.1;6.4;51.5;Sensor B;42.4;-85.3728
2;29.4;86.2;6.4;53.4;Sensor C;42.4;-85.3728
2;28;84.9;6.6;36.1;Sensor C;42.4;-85.3728
2;28.1;80.4;6.8;38.1;Sensor C;42.4;-85.3728
1;29.2;80.3;6.7;40.2;Sensor B;42.4;-85.3728
2;29.9;80;6.7;50.7;Sensor C;42.4;-85.3728
1;29.1;83.7;6.6;44;Sensor B;42.4;-85.3728
4;27.4;88.7;6.7;58.3;Sensor E;42.4;-85.3728
1;27.9;85.4;7;43.3;Sensor B;42.4;-85.3728
2;29.3;81.8;6.9;44.5;Sensor C;42.4;-85.3728
1;29;83.8;6.8;59.8;Sensor B;42.4;-85.3728
1;27.9;86.6;7.2;43.5;Sensor B;42.4;-85.3728
2;28.5;89;6.3;49.5;Sensor C;42.4;-85.3728
1;29.4;89.2;6.7;48.3;Sensor B;42.4;-85.3728
0;28.6;83.6;6.7;41;Sensor A;42.4;-85.3728
3;28.4;87.9;6.6;43.1;Sensor D;42.4;-85.3728
0;28.8;80.5;6.7;44.3;Sensor A;42.4;-85.3728
1;28.7;89.1;7.1;58.5;Sensor B;42.4;-85.3728
3;28;83.5;6.9;43.3;Sensor D;42.4;-85.3728
1;28.2;83.7;6.8;37.2;Sensor B;42.4;-85.3728
2;28.8;86.7;7;56.1;Sensor C;42.4;-85.3728
4;28.4;83.5;6.3;52.6;Sensor E;42.4;-85.3728
3;29;60.5;4.8;186.5;Sensor D;42.4;-85.3728
2;21.6;56.9;4.9;201.2;Sensor C;42.4;-85.3728
1;26.7;56.3;5;151.4;Sensor B;42.4;-85.3728
4;27.4;62.7;4.6;192.9;Sensor E;42.4;-85.3728
1;21;60.8;4.8;230.6;Sensor B;42.4;-85.3728
3;28.9;58.3;4.5;239.4;Sensor D;42.4;-85.3728
4;25.3;62.3;4.9;238.6;Sensor E;42.4;-85.3728
2;23.3;56.9;4.6;229.8;Sensor C;42.4;-85.3728
2;27.2;61.4;4.6;168.5;Sensor C;42.4;-85.3728
0;22.1;64.9;4.6;155.4;Sensor A;42.4;-85.3728
0;27.6;61.8;4.8;211.5;Sensor A;42.4;-85.3728
4;21.8;57.4;4.9;164.8;Sensor E;42.4;-85.3728
3;21.1;60.6;4.5;242.7;Sensor D;42.4;-85.3728
2;23.4;62.8;4.5;207.9;Sensor C;42.4;-85.3728
4;23.5;55.5;4.6;248;Sensor E;42.4;-85.3728
4;21.9;63.9;4.8;249.4;Sensor E;42.4;-85.3728
3;24;64.2;4.6;205.6;Sensor D;42.4;-85.3728
3;23;58.8;4.7;243.5;Sensor D;42.4;-85.3728
1;23.3;62.4;4.6;190.8;Sensor B;42.4;-85.3728
0;25.7;64.5;4.8;248.6;Sensor A;42.4;-85.3728
1;22.5;61.9;4.9;245.9;Sensor B;42.4;-85.3728
1;26.1;63.5;4.6;166;Sensor B;42.4;-85.3728
3;25.8;55;4.8;220.2;Sensor D;42.4;-85.3728
3;26.7;61;4.5;195.3;Sensor D;42.4;-85.3728
0;26.1;63.2;4.7;235.3;Sensor A;42.4;-85.3728
3;24.2;56.8;4.9;235.9;Sensor D;42.4;-85.3728
0;21.7;61.8;4.7;241.5;Sensor A;42.4;-85.3728
0;22.4;56.8;4.7;151.5;Sensor A;42.4;-85.3728
3;22;62.1;4.9;248;Sensor D;42.4;-85.3728
3;21.1;57.5;5;243.6;Sensor D;42.4;-85.3728
1;27.4;63.7;4.7;218.3;Sensor B;42.4;-85.3728
3;21.7;55.5;4.5;156.5;Sensor D;42.4;-85.3728
2;23.4;56.7;5;210.8;Sensor C;42.4;-85.3728
1;22;55.1;4.6;155.5;Sensor B;42.4;-85.3728
4;23;56;4.9;156.1;Sensor E;42.4;-85.3728
4;23.3;59;4.5;187.2;Sensor E;42.4;-85.3728
1;22.2;62.9;4.6;244.6;Sensor B;42.4;-85.3728
1;22.6;58.3;4.5;209.8;Sensor B;42.4;-85.3728
2;22.4;60.4;4.6;193.1;Sensor C;42.4;-85.3728
0;25.1;64.3;4.7;174;Sensor A;42.4;-85.3728
0;26.3;58;4.7;183.6;Sensor A;42.4;-85.3728
2;22.1;64.1;4.8;177.7;Sensor C;42.4;-85.3728
2;24.6;56.5;4.7;239.4;Sensor C;42.4;-85.3728
3;25.1;61;4.9;168.9;Sensor D;42.4;-85.3728
1;21.7;61.2;4.8;165;Sensor B;42.4;-85.3728
4;23.3;55.8;4.8;207.1;Sensor E;42.4;-85.3728
2;25.8;55.2;4.6;181.4;Sensor C;42.4;-85.3728
2;27.6;59.3;4.9;229.5;Sensor C;42.4;-85.3728
0;26.7;57.8;4.6;186.3;Sensor A;42.4;-85.3728
3;23.6;58.6;4.6;213.5;Sensor D;42.4;-85.3728
3;26.1;62.2;4.9;188.2;Sensor D;42.4;-85.3728
1;21.3;64;4.5;216.1;Sensor B;42.4;-85.3728
1;26.6;62.6;4.9;181.1;Sensor B;42.4;-85.3728
0;26.4;63.3;4.6;228.2;Sensor A;42.4;-85.3728
1;25.3;55.7;4.6;246.4;Sensor B;42.4;-85.3728
1;21.5;55.1;4.9;221.7;Sensor B;42.4;-85.3728
2;22.1;63.7;4.8;185.3;Sensor C;42.4;-85.3728
4;26.2;62;4.9;228;Sensor E;42.4;-85.3728
1;24.9;57.6;4.9;246.8;Sensor B;42.4;-85.3728
3;26;57.9;4.9;239.7;Sensor D;42.4;-85.3728
2;24.6;57.5;4.8;196.4;Sensor C;42.4;-85.3728
4;24.8;59.9;4.8;241.4;Sensor E;42.4;-85.3728
4;28.6;61.4;4.8;228.3;Sensor E;42.4;-85.3728
3;27.9;64.6;4.6;236.2;Sensor D;42.4;-85.3728
3;23;63.8;4.9;232.1;Sensor D;42.4;-85.3728
1;23.4;58.7;4.9;154.4;Sensor B;42.4;-85.3728
2;25.8;61.4;4.9;170.9;Sensor C;42.4;-85.3728
3;22.8;61.8;4.9;170.2;Sensor D;42.4;-85.3728
4;27.4;64.6;4.8;224.7;Sensor E;42.4;-85.3728
2;25.5;63.8;4.7;191.8;Sensor C;42.4;-85.3728
4;25.2;61.8;4.6;200.5;Sensor E;42.4;-85.3728
4;25.4;58.5;5;155.9;Sensor E;42.4;-85.3728
3;24.5;55.4;5;245;Sensor D;42.4;-85.3728
1;22.2;62.8;5;151;Sensor B;42.4;-85.3728
3;24.4;59.1;4.8;176.4;Sensor D;42.4;-85.3728
1;23;58.6;4.8;244.4;Sensor B;42.4;-85.3728
0;28.7;62;4.7;179.1;Sensor A;42.4;-85.3728
0;25.5;61.7;4.9;190.1;Sensor A;42.4;-85.3728
1;24.6;55.8;4.8;187.2;Sensor B;42.4;-85.3728
4;27.2;58.2;4.8;153.2;Sensor E;42.4;-85.3728
0;23.1;63.2;4.5;174.9;Sensor A;42.4;-85.3728
0;23.1;58.3;4.8;242.6;Sensor A;42.4;-85.3728
3;25;62.2;4.5;210.8;Sensor D;42.4;-85.3728
2;21.1;62.2;4.9;222.7;Sensor C;42.4;-85.3728
2;21.6;62.2;4.8;223.2;Sensor C;42.4;-85.3728
2;24.3;55.8;5;202.3;Sensor C;42.4;-85.3728
0;23.2;57.3;5;191.6;Sensor A;42.4;-85.3728
2;25.5;60.5;4.5;248.3;Sensor C;42.4;-85.3728
3;27.2;61.3;4.6;185.8;Sensor D;42.4;-85.3728
2;27.2;57;4.6;222.6;Sensor C;42.4;-85.3728
1;22.3;62.2;5;202.8;Sensor B;42.4;-85.3728
1;25.6;55.1;4.8;247.2;Sensor B;42.4;-85.3728
3;24.1;58.7;4.6;205.6;Sensor D;42.4;-85.3728
2;27.6;57.6;4.9;179.5;Sensor C;42.4;-85.3728
3;21.3;57.3;4.6;198.6;Sensor D;42.4;-85.3728
1;26.3;62.3;4.5;199.2;Sensor B;42.4;-85.3728
1;23;61.5;4.8;155.1;Sensor B;42.4;-85.3728
3;26.2;65;4.6;188.1;Sensor D;42.4;-85.3728
3;26.1;64.4;4.8;179.5;Sensor D;42.4;-85.3728
3;24.4;58.9;4.9;179.1;Sensor D;42.4;-85.3728
4;45.4;12.8;5.9;45.8;Sensor E;42.4;-85.3728
4;45.1;13.9;6.5;38.2;Sensor E;42.4;-85.3728
0;41.8;13.4;7;48.4;Sensor A;42.4;-85.3728
4;45.2;11.5;7.5;35.2;Sensor E;42.4;-85.3728
4;40.3;12.9;7.6;44.2;Sensor E;42.4;-85.3728
2;46;13.1;6.8;38;Sensor C;42.4;-85.3728
2;43.4;10.2;7.8;36.6;Sensor C;42.4;-85.3728
2;49.5;11.2;6.7;48.5;Sensor C;42.4;-85.3728
2;43.3;11.8;5.8;39.1;Sensor C;42.4;-85.3728
3;45.2;12.2;7.1;41.8;Sensor D;42.4;-85.3728
0;41.2;14.5;6;39;Sensor A;42.4;-85.3728
1;43.3;13.7;7.6;43;Sensor B;42.4;-85.3728
2;49.9;15.5;6.9;39.4;Sensor C;42.4;-85.3728
3;40.4;11.9;6.1;42.9;Sensor D;42.4;-85.3728
1;43.1;15.4;6;48.8;Sensor B;42.4;-85.3728
1;48.5;11;6.9;49.6;Sensor B;42.4;-85.3728
2;44.2;11.8;6.9;48.8;Sensor C;42.4;-85.3728
0;43.4;13;7.7;48.5;Sensor A;42.4;-85.3728
2;46.5;10.5;6.9;47.3;Sensor C;42.4;-85.3728
2;48.4;10.1;5.7;45.3;Sensor C;42.4;-85.3728
